Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
2675,2676,5/18/2006,Private 1st Class,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Gilmanton,New Hampshire,US,16939
2676,2675,5/18/2006,Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Bellevue,Nebraska,US,16939
2677,2674,5/18/2006,1st Lieutenant,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Emmitsburg,Maryland,US,16939
2678,2678,5/18/2006,Corporal,23,U.S. Marine,Hostile,hostile fire,"Brooke Army Med Center, TX",Culloden,West Virginia,US,16939
2679,2679,5/21/2006,Lance Corporal,22,U.S. Marine,Hostile,hostile fire - IED attack,Fallujah,Edinburg,Texas,US,16942
2680,2681,5/22/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Maurice,Iowa,US,16943
2681,2680,5/22/2006,Sergeant,25,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Rossford,Ohio,US,16943
2682,2684,5/23/2006,Specialist,21,U.S. Army National Guard,Hostile,hostile fire - IED attack,AL Abayachi,Fargo,North Dakota,US,16944
2683,2683,5/23/2006,Lance Corporal,22,U.S. Marine,Hostile,hostile fire - IED attack,Al Karmah,Sherburn,Minnesota,US,16944
2684,2682,5/23/2006,Private 1st Class,20,U.S. Marine,Hostile,hostile fire - IED attack,Al Kharma,Pleasant Hills,Pennsylvania,US,16944
2685,2686,5/25/2006,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Ocala,Florida,US,16946
2686,2685,5/25/2006,Captain,30,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Plymouth,New Hampshire,US,16946
2687,2687,5/25/2006,Private 1st Class,24,U.S. Army,Hostile,hostile fire - IED attack,Walter Reed Medical Ctr.,Knoxville,Illinois,US,16946
2688,2688,5/26/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Ramadi,Greensboro,North Carolina,US,16947
2689,2690,5/27/2006,Captain,31,U.S. Marine,Non-hostile,helicopter crash,Al Taqaddum,Apple Valley,Minnesota,US,16948
2690,2689,5/27/2006,Corporal,25,U.S. Marine,Non-hostile,helicopter crash,Al Taqaddum,Girard,Kansas,US,16948
2691,2691,5/27/2006,Corporal,20,U.S. Army,Hostile,hostile fire - small arms fire,"National Naval Medical Center, Bethesda",Irving,Texas,US,16948
2692,2693,5/28/2006,Lance Corporal,27,British Army,Hostile,hostile fire - IED attack,Basra,"Runcorn, Cheshire",Not reported yet,UK,16949
2693,2692,5/28/2006,Lieutenant,26,British Army,Hostile,hostile fire - IED attack,Basra,London,Not reported yet,UK,16949
2694,2694,5/29/2006,Captain,35,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Katy,Texas,US,16950
2695,2695,5/29/2006,Corporal,25,U.S. Army,Hostile,hostile fire - small arms fire,Mosul,Estacada,Oregon,US,16950
2696,2696,5/30/2006,Corporal,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Beebe,Arkansas,US,16951
2697,2697,5/30/2006,Specialist,28,U.S. Army,Non-hostile,accident,Balad,Caledonia,Michigan,US,16951
2698,2698,5/31/2006,Corporal,22,U.S. Army,Non-hostile,NA,Baghdad,White Lake,Michigan,US,16952
2699,2699,5/31/2006,Sergeant,25,U.S. Army,Non-hostile,NA,Mosul,Salem,Massachusetts,US,16952
2700,2701,6/3/2006,Corporal,22,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Streamwood,Illinois,US,16955
2701,2702,6/3/2006,Staff Sergeant,44,U.S. Army Reserve,Non-hostile,NA,Al Anbar Province,Newark,Delaware,US,16955
2702,2703,6/3/2006,Major,43,U.S. Marine,Non-hostile,NA,Al Taqaddum,Mansfield,Ohio,US,16955
2703,2700,6/3/2006,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Lake Jackson,Texas,US,16955
2704,2704,6/5/2006,Caporal,25,Italian Army,Hostile,hostile fire - IED attack,An Nasiriyah,Cagliari,Not reported yet,IT,16957
2705,2706,6/5/2006,Petty Officer 1st Class,44,U.S. Naval Reserve,Hostile,hostile fire - IED attack,Anah,Roseville,Illinois,US,16957
2706,2705,6/5/2006,Petty Officer 2nd Class,30,U.S. Naval Reserve,Hostile,hostile fire - IED attack,Anah,Bay City,Wisconsin,US,16957
2707,2707,6/5/2006,Specialist,35,U.S. Army National Guard,Hostile,hostile fire - IED attack,Baghdad,Sacramento,California,US,16957
2708,2709,6/6/2006,1st Lieutenant,27,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Richardson,Texas,US,16958
2709,2708,6/6/2006,Sergeant,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Pelham,New Hampshire,US,16958
2710,2710,6/6/2006,Private 1st Class,23,Danish Army,Non-hostile,vehicle accident,Basra,Not reported yet,Not reported yet,DK,16958
2711,2713,6/6/2006,Staff Sergeant,34,U.S. Army National Guard,Hostile,hostile fire - small arms fire,Khaldiyah,Avon,Indiana,US,16958
2712,2712,6/6/2006,Corporal,24,U.S. Army,Hostile,hostile fire,Ramadi,Falls Church,Virginia,US,16958
